"사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","총종업원수","축산물가공업구분명","축산업무구분명"
"아이엠독","서울특별시 노원구 상계동 746-4번지 202호","서울특별시 노원구 동일로 1363 202호 (상계동)","20140827","폐업 등","20161111","","","","0","","","","동물판매업"
"경기관상어","서울특별시 노원구 중계동 517번지 롯데마트 중계점","서울특별시 노원구 노원로 330 (중계동 롯데마트 중계점)","20150108","운영중","","","","","0","","","","동물판매업"
"시마동물병원","서울특별시 노원구 상계동 749-5번지 주공4단지상가 401동 211호","서울특별시 노원구 동일로 1356 401동 211호 (상계동 주공4단지상가)","20150112","폐업 등","20171208","","","","0","","","","동물판매업"
"트리밍 807","서울특별시 서초구 방배동 795-15번지","서울특별시 서초구 방배로37길 7 (방배동)","20120507","폐업 등","20160526","","","","0","","","","동물판매업"
"영점일프로 방배점","서울특별시 서초구 방배동 954-31번지","서울특별시 서초구 도구로 93 (방배동)","20130709","운영중","","","","","0","","","","동물판매업"
"로얄수족관","서울특별시 서초구 양재동 215번지","서울특별시 서초구 매헌로 16 지하1층 (양재동)","20131101","운영중","","","","","0","","","","동물판매업"
"해피애견타운","서울특별시 서초구 반포동 735-11번지 1층","서울특별시 서초구 강남대로85길 17 1층 (반포동)","20140303","운영중","","","","","0","","","","동물판매업"
"도그스페이스","서울특별시 서초구 양재동 5-4번지 2층","서울특별시 서초구 바우뫼로 205 2층 (양재동)","20140728","운영중","","","","","0","","","","동물판매업"
"리얼독스","서울특별시 서초구 양재동 81-3번지","서울특별시 서초구 바우뫼로 182-1 (양재동)","20141014","운영중","","","","","0","","","","동물판매업"
"몰리스 펫 샵 센트럴시티점","서울특별시 서초구 반포동","서울특별시 서초구 사평대로 205 FP125호 (반포동)","20141121","운영중","","","","","0","","","","동물판매업"
"헬로우도치","서울특별시 서초구 서초동 1443-3번지 3층","서울특별시 서초구 효령로 316 3층 (서초동)","20150223","운영중","","","","","0","","","","동물판매업"
"올리브독","서울특별시 서초구 반포동 711-28번지","서울특별시 서초구 주흥길 71 (반포동)","20150406","운영중","","","","","0","","","","동물판매업"
"쿨펫동물병원","서울특별시 강남구 대치동 937번지 롯데백화점 1층","서울특별시 강남구 도곡로 401 (대치동롯데백화점 1층)","20080910","폐업 등","20160128","","","","","","","","동물판매업"
"개포동물병원","서울특별시 강남구 개포동 186-17번지","","20080911","폐업 등","20101129","","","","","","","","동물판매업"
"청담우리동물병원","서울특별시 강남구 삼성동 52번지 송전빌딩 108","","20081031","폐업 등","20140124","","","","","","","","동물판매업"
"영동동물병원","서울특별시 강남구 논현동 142-3번지","","20081104","폐업 등","20141226","","","","","","","","동물판매업"
"알프스동물병원","서울특별시 강남구 역삼동 604-6번지 1층","","20081010","폐업 등","20101129","","","","","","","","동물판매업"
"프렌즈동물병원","서울특별시 강남구 역삼동 659-8번지","","20081110","폐업 등","20150610","","","","","","","","동물판매업"
"(주)모나미","서울특별시 강남구 삼성동 35-3번지","서울특별시 강남구 선릉로 620 (삼성동)","20081113","폐업 등","20090731","","","","0","","","","동물판매업"
"치료멍멍펫삽","서울특별시 강남구 신사동 630-23번지 1층","","20081110","폐업 등","20111124","","","","","","","","동물판매업"
"현진우동물병원","서울특별시 강남구 역삼동 834-45번지","서울특별시 강남구 역삼로 138 (역삼동)","20081117","폐업 등","20161102","","","","0","","","","동물판매업"
"퍼플퍼피","서울특별시 강남구 신사동 550-19번지","서울특별시 강남구 압구정로18길 14 (신사동)","20081117","폐업 등","20180726","","","","0","","","","동물판매업"
"챔피언애견","서울특별시 강남구 논현동 170-1번지","","20090113","폐업 등","20110704","","","","","","","","동물판매업"
"삐삐애견","서울특별시 강남구 논현동 146-16번지","","20090130","폐업 등","20150616","","","","","","","","동물판매업"
"애견천국","서울특별시 강남구 논현동 6-21번지 세양APEX타워 103","서울특별시 강남구 도산대로 158 (논현동세양APEX타워 103)","20090225","운영중","","","","","0","","","","동물판매업"
"백산펫","서울특별시 강남구 논현동 182-23번지","서울특별시 강남구 강남대로118길 23 (논현동)","20090225","폐업 등","20100222","","","","0","","","","동물판매업"
"튼튼종합동물병원","서울특별시 강남구 역삼동 799-21번지","서울특별시 강남구 도곡로 175 (역삼동 창림빌딩)","20090512","폐업 등","20100302","","","","0","","","","동물판매업"
"바우스토리","서울특별시 강남구 논현동 13-16번지","서울특별시 강남구 도산대로8길 15 (논현동)","20090615","폐업 등","20160520","","","","0","","","","동물판매업"
"우리집동물병원","서울특별시 강남구 도곡동 180-31번지","","20090807","폐업 등","20140429","","","","","","","","동물판매업"
"닥터펫동물병원","서울특별시 강남구 삼성동 35-3번지","서울특별시 강남구 선릉로 620 (삼성동)","20090821","폐업 등","20100406","","","","0","","","","동물판매업"
